Book-Title,ISBN,Book-Author,Year-Of-Publication,Avg-rating,description,page,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
Range of Motion,515119784,Elizabeth Berg,1996,3.93,"I can tell you how it happened. It's easy to say how it happened. He walked past a building, and a huge chunk of ice fell off the roof, and it hit him in the head. This is Chaplinesque, right? People start to laugh when I tell them-'As Jay Berman lingers in a coma, his young wife, Lainey, is the only one who believes he will recover. While he lies motionless, she hopes to reach him by offering reminders of the ordinary life they shared - sweet-smelling flowers, his softly textured shirt, spices from their kitchen. And throughout her ordeal, Lainey is sustained by her relationship with two very special women, each of whom teaches her about the enduring bond of friendship and the genuine power of hope.",260,Jove Books,http://images.amazon.com/images/P/0515119784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515119784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515119784.01.LZZZZZZZ.jpg
Rebecca,380778556,Daphne Du Maurier,1994,4.23,"Last night I dreamt I went to Manderley again . . .The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.",449,Avon,http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg
Red Dragon,440206154,Thomas Harris,2000,4.03,"A second family has been massacred by the terrifying serial killer the press has christened ""The Tooth Fairy."" Special Agent Jack Crawford turns to the one man who can help restart a failed investigation: Will Graham. Graham is the greatest profiler the FBI ever had, but the physical and mental scars of capturing Hannibal Lecter have caused Graham to go into early retirement. Now, Graham must turn to Lecter for help.",454,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
Red Storm Rising,042510107X,Tom Clancy,1997,4.2,"""Allah!"" With that shrill cry, three Muslim terrorists blow up a key Soviet oil complex, creating a critical oil shortage that threatens the stability of the USSR.To offer the effects of this disaster, members of the Politburo and the KGB devise a brilliant plan of diplomatic trickery - a sequence of events designed to pit the NATO allies against each other - a distraction calculated to enable the Soviets to seize all the oil in the Persian Gulf.But as this spellbinding story of international intrigue and global politics nears its climax, the Soviets are faced with another prospect, one they hadn't planned on: a full-scale conflict in which nobody can win.",,Berkley Publishing Group,http://images.amazon.com/images/P/042510107X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042510107X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042510107X.01.LZZZZZZZ.jpg
Remember Me,671867091,Mary Higgins Clark,1995,3.94,"Libro usado en buenas condiciones, por su antiguedad podria contener seÒales normales de uso",304,Pocket,http://images.amazon.com/images/P/0671867091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867091.01.LZZZZZZZ.jpg
Riptide,515130966,Catherine Coulter,2001,4.04,"Political speechwriter Becca Matlock is at the top of her professional game, working for the re-election campaign of New York's popular governor, when she receives the first phone call: ""Stop sleeping with the governor or I'll kill him."" Though Becca isn't sleeping with the governor, the menacing ultimatums persist. The police suddenly stop believing her, even after the stalker murders an innocent person to prove his point. When the governor is shot in the neck, Becca flees for the safety of coastal Maine, choosing to hide not only from the stalker but also from the authorities. For sanctuary, she goes to Riptide, the home of a college friend--but soon finds herself at even greater risk.",412,Jove Books,http://images.amazon.com/images/P/0515130966.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515130966.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515130966.01.LZZZZZZZ.jpg
Rising Sun,345380371,MICHAEL CRICHTON,1992,3.65,"In a novel set within the arena of volatile Japanese-American relations, business moguls compete for control of the international electronics industry.",399,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
Rising Tides,051512317X,Nora Roberts,2001,4.17,"Ethan Quinn shares his late father's passion for the ocean, and he's determined to make the family boat-building business a success. But as well as looking out for his young brother Seth, the strong but guarded Quinn is also battling some difficult home truths.Grace Monroe, the woman Ethan has always loves but never believed he could have, is learning that appearances can be deceptive. For beneath Ethan's still, dark waters lies a shocking past. With Grace's help, can he overcome the shadows that haunt him and finally accept who he is?",330,Jove Books,http://images.amazon.com/images/P/051512317X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051512317X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051512317X.01.LZZZZZZZ.jpg
River's End,515127833,Nora Roberts,2003,3.99,"Olivia's parents were among Hollywood's golden couples‚Ä¶until the night a monster came and took her mother away forever. A monster with the face of her father...Sheltered from the truth, an older Olivia only dimly recalls her night of terror‚Äîbut her recurring nightmares make her realize she must piece together the real story. Assisted by Noah Brady, the son of the police detective who found her cowering in her closet so many years before, she may have her chance. Noah wants to reconstruct the night that has become an infamous part of Hollywood history. He also wants to help Olivia and heal the longing in her lonely heart. But once the door to her past is opened, there's no telling what's waiting on the other side. For somewhere, not too far away, the monster walks again...",443,Jove Books,http://images.amazon.com/images/P/0515127833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515127833.01.LZZZZZZZ.jpg
"River, Cross My Heart",316899984,Breena Clarke,1999,3.5,"The acclaimed bestseller -- a selection of Oprah's Book Club -- that brings vividly to life the Georgetown neighborhood of Washington, DC, circa 1925, and a community reeling from a young girl's tragic death.",245,Little Brown &amp; Company,http://images.amazon.com/images/P/0316899984.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg
Rose Madder,451186362,Stephen King,2004,3.71,"Alternate cover for this ISBN can be found hereRoused by a single drop of blood, Rosie Daniels wakes up to the chilling realisation that her husband is going to kill her. And she takes flight - with his credit card. Alone in a strange city, Rosie begins to build a new life: she meets Bill Steiner and she finds an odd junk shop painting, 'Rose Madder', which strangely seems to want her as much as she wants it. But it's hard for Rosie not to keep looking over her shoulder. Rose-maddened and on the rampage, Norman is a corrupt cop with a dog's instinct for tracking people. And he's getting close. Rosie can feel just how close he's getting...",595,Signet Book,http://images.amazon.com/images/P/0451186362.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451186362.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451186362.01.LZZZZZZZ.jpg
Roses Are Red (Alex Cross Novels),446605484,James Patterson,2001,4.07,"In a series of crimes that has stunned Washington, D.C., bank robbers have been laying out precise demands when they enter the building - and then killing the bank employees and their families if those instructions are not followed to the letter. Detective Alex Cross takes on the case, certain that this is no ordinary bank robber at work - the pathological need for control and perfection is too great. Cross is in the midst of a personal crisis at home, but the case becomes all-consuming as he learns that the Mastermind is plotting one huge, last, perfect crime.",412,Warner Vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
Rules of Prey,425121631,John Sandford,1992,4.11,"The ""maddog"" murderer who is terrorizing the Twin Cities is two things: insane and extremely intelligent. He kills for the pleasure of it and thoroughly enjoys placing elaborate obstacles to keep police befuddled. Each clever move he makes is another point of pride. But when the brilliant Lieutenant Lucas Davenport--a dedicated cop and a serial killer's worst nightmare--is brought in to take up the investigation, the maddog suddenly has an adversary worthy of his genius.",479,Berkley Publishing Group,http://images.amazon.com/images/P/0425121631.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425121631.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425121631.01.LZZZZZZZ.jpg
SHIPPING NEWS,671510053,Annie Proulx,1994,3.86,"When Quoyle's two-timing wife meets her just deserts, he retreats with his two daughters to his ancestral home on the starkly beautiful Newfoundland coast, where a rich cast of local characters and family members all play a part in Quoyle's struggle to reclaim his life. As Quoyle confronts his private demons--and the unpredictable forces of nature and society--he begins to see the possibility of love without pain or misery. A vigorous, darkly comic, and at times magical portrait of the contemporary North American family, The Shipping News shows why Annie Proulx is recognized as one of the most gifted and original writers in America today.",337,Scribner,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
STONES FROM THE RIVER,684844729,Ursula Hegi,1997,4.09,"From the highly acclaimed, award-winning author of Floating in My Mother's Palm comes a stunning novel about ordinary people living in extraordinary times.Trudi Montag is a Zwerg‚Äîa dwarf‚Äîshort, undesirable, different, the voice of anyone who has ever tried to fit in. Eventually she learns that being different is a secret that all humans share‚Äîfrom her mother who flees into madness, to her friend Georg whose parents pretend he's a girl, to the Jews Trudy harbors in her cellar.Ursula Hegi brings us a timeless and unforgettable story in Trudi and a small town, weaving together a profound tapestry of emotional power, humanity, and truth.",525,Simon &amp; Schuster,http://images.amazon.com/images/P/0684844729.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684844729.01.LZZZZZZZ.jpg
Sacred Sins,553265741,Nora Roberts,1990,3.87,"In the lazy days of summer, a merciless heat wave is the biggest story in Washington, D.C. But the weather is knocked off the front pages when a young woman is found strangled to death. A note left behind reads Her sins are forgiven her.Two more victims soon follow, and suddenly every headline is devoted to the killer the press has dubbed ""the Priest."" When the police ask top-notch psychiatrist Dr. Tess Court to help with their investigation, she comes up with a disturbing portrait of a twisted soul.Detective Ben Paris doesn't give a damn about the killer's psyche. What he can't easily dismiss is Tess. Tall, dark, and good-looking, Ben has a legendary reputation with women, but the coolly elegant Tess doesn't react to him like other women he's known and he finds the challenge enticing.",344,Bantam Books,http://images.amazon.com/images/P/0553265741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553265741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553265741.01.LZZZZZZZ.jpg
Saint Maybe,804108749,ANNE TYLER,1992,3.88,"In 1965, the happy Bedloe family is living an ideal, apple-pie existence in Baltimore.¬†¬†Then, in the blink of an eye, a single tragic event occurs that will transform their lives forever--particularly that of seventeen-year-old Ian Bedloe, the youngest son, who blames himself for the sudden ""accidental"" death of his older brother.Depressed and depleted, Ian is almost crushed under the weight of an unbearable, secret guilt.¬†¬†Then one crisp January evening, he catches sight of a window with glowing yellow neon, the CHURCH OF THE SECOND CHANCE.¬†¬†He enters and soon discovers that forgiveness must be earned, through a bit of sacrifice and a lot of love...A New York Times Notable Book",337,Ivy Books,http://images.amazon.com/images/P/0804108749.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804108749.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804108749.01.LZZZZZZZ.jpg
Sanctuary,515122734,Nora Roberts,2004,3.96,"Photographer Jo Ellen Hathaway thought she'd escaped the house called Sanctuary long ago. She'd spent her loneliest years there, after the sudden, unexplained disappearance of her mother. Yet the sprawling inn on an island off the Georgia coast continues to haunt her dreams. And now, even more haunting are the pictures someone is sending her: strange close-ups and candids, culminating in the most shocking portrait of allóa photo of her motherónaked, beautiful, and dead.",506,Jove Books,http://images.amazon.com/images/P/0515122734.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515122734.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515122734.01.LZZZZZZZ.jpg
Saving Faith,446608890,David Baldacci,2000,3.89,"When lobbyist Faith Lockhart stumbles upon a corruption scheme at the highest levels of government, she becomes a dangerous witness who the most powerful men in the world will go to any lengths to silence in this #1 New York Times bestselling thriller.In a secluded house not far from Washington, D.C., the FBI is interviewing one of the most important witnesses it has ever had: a young woman named Faith Lockhart. For Faith has done too much, knows too much, and will tell too much.
  
  
Feared by some of the most powerful men in the world, Faith has been targeted to die. But when a private investigator walks into the middle of the assassination attempt, the shooting suddenly goes wrong, and an FBI agent is killed. Now Faith Lockhart must flee for her life--with her story, her deadly secret, and an unknown man she's forced to trust...
  
",528,Warner Vision,http://images.amazon.com/images/P/0446608890.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.LZZZZZZZ.jpg
Scarlet Feather,525945938,Maeve Binchy,2001,3.96,"Set in contemporary Ireland, filled with warmth, wit, and drama, Scarlet Feather is the story of Cathy Scarlet and Tom Feather, their spouses, families, and friends, and the struggling new catering business that transforms their lives in ways big and small.",549,Dutton Books,http://images.amazon.com/images/P/0525945938.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525945938.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525945938.01.LZZZZZZZ.jpg
"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",446363251,Alexandra Ripley,1992,3.65,"Set in the Reconstruction-era South, this sequel to Margaret Mitchell's well-loved novel follows Rhett, Scarlett, and Ashley as they pick up the pieces of their lives.",,Warner Books,http://images.amazon.com/images/P/0446363251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.LZZZZZZZ.jpg
Schindler's List,671880314,Thomas Keneally,1993,4.34,"In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser, a heavy drinker and a bon viveur, but to them he became a saviour. This is the extraordinary story of Oskar Schindler, who risked his life to protect Jews in Nazi-occupied Poland and who was transformed by the war into a man with a mission, a compassionate angel of mercy.",429,Touchstone,http://images.amazon.com/images/P/0671880314.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671880314.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671880314.01.LZZZZZZZ.jpg
Sea Glass: A Novel,316089699,Anita Shreve,2003,4,"Like the colorful pieces of sea glass washed up on shore, Opal has weathered rough waters and twisting currents. But instead of finding a tranquil eddy, Opal is caught in a riptide. Her unique glass messengers which allow instant communication over vast distances have become a vital part of Sitian society. Once used solely by the Councilors and magicians, other powerful factions are now vying for control. Control of the messengers equals control of Sitia. Unfortunately that also means control of Opal. If that isn‚Äôt enough of a problem, Opal‚Äôs determination to prove blood magic is still being used is met with strong resistance. The Council doubts her, her mentor doubts her, and even her family is concerned. When her world is turned upside down, she begins to doubt herself. In the end, Opal must decide who to believe, who to trust, and who has control‚Äîotherwise she will shatter into a million pieces and be swept out by the tide.",379,Back Bay Books,http://images.amazon.com/images/P/0316089699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.LZZZZZZZ.jpg
Sea Swept (Quinn Brothers (Paperback)),515121843,Nora Roberts,2001,4.24,"The first novel in #1 New York Times bestselling author Nora Roberts' stunning Chesapeake Bay Saga, where the Quinn brothers must return to their family home on the Maryland shore, to honor their father's last request...A champion boat racer, Cameron Quinn traveled the world spending his winnings on champagne and women. But when his dying father calls him home to care for Seth, a troubled young boy not unlike Cameron once was, his life changes overnight.After years of independence, Cameron has to learn to live with his brothers again, while he struggles with cooking, cleaning, and caring for a difficult boy. Old rivalries and new resentments flare between Cameron and his brothers, but they try to put aside their differences for Seth‚Äôs sake. In the end, a social worker will decide Seth‚Äôs fate, and as tough as she is beautiful, she has the power to bring the Quinns together‚Äîor tear them apart...Don't miss the other books in the Chesapeake Bay SagaRising TidesInner HarborChesapeake Blue",330,Jove Books,http://images.amazon.com/images/P/0515121843.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515121843.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515121843.01.LZZZZZZZ.jpg
Seabiscuit,345465083,LAURA HILLENBRAND,2003,4.22,"There's an alternate cover edition here

Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuitís fortunes:

Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon.

Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.",457,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
Seabiscuit: An American Legend,449005615,LAURA HILLENBRAND,2002,4.22,"There's an alternate cover edition hereSeabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit‚Äôs fortunes:Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.From the Hardcover edition.",457,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
Second Nature,399139087,Alice Hoffman,1994,3.84,"Second Nature tells the story of a suburban woman, Robin Moore, who discovers her own free spirit through a stranger she brings home to her perfectly ordered neighborhood. As Robin impulsively draws this beautiful, uncivilized man into her world-meanwhile coping with divorce and a troubled teenage son-she begins to question her wisdom and doubt her own heart, and ultimately she changes her ideas about love and humanity.",272,Putnam Pub Group,http://images.amazon.com/images/P/0399139087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399139087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399139087.01.LZZZZZZZ.jpg
Secret History,804111359,DONNA TARTT,1993,4.09,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",559,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
Secrets,440176484,DANIELLE STEEL,1986,3.85,"The stars of a new TV series called ""Manhattan"" share their secrets with millions. Offstage they are ordinary people with homes and dreams, lives and loves, every bit as real, and as the viewers watch the drama unfold the actors share their passion and pain in the performance of their lives.",278,Dell,http://images.amazon.com/images/P/0440176484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440176484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440176484.01.LZZZZZZZ.jpg
Seize the Night,553106651,DEAN KOONTZ,1998,4.35,"Dark-Hunter: an immortal warrior who has traded his soul to Artemis for one moment of vengeance on his enemies. In return, they swear to spend eternity protecting mankind from the daimons and vampires that prey on them. Valerius isn't a popular Dark-Hunter - he's a Roman, which means that the largely Greek Hunters have a major grudge against him and his civilization for superceding them. To make things worse, he's very conscious of his aristocratic background and breeding. So it serves him right when he runs into Tabitha Devereaux. She's sassy, sexy, and completely unwilling to take him seriously. (Not to mention Tabitha is also the sister-in-law of Kyrian, a former Dark-Hunter and Val's mortal enemy.) What Tabitha does take seriously is hunting and killing vampires-and soon she and Val have to grapple with the deadliest of all Daimons - one who's managed to come back from the dead, and one who holds a serious grudge against both of them. To win against evil, Val will have to loosen up, learn to trust, and put everything on the line to protect a man he hates and a woman who drives him nuts.",339,Bantam,http://images.amazon.com/images/P/0553106651.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553106651.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553106651.01.LZZZZZZZ.jpg
Seven Habits Of Highly Effective People,671708635,Stephen R. Covey,1990,4.12,"When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‚Äòsuccess‚Äô in life.But not everyone understands Stephen Covey‚Äôs model fully well, or maybe there are some people who haven‚Äôt read it yet. This is definitely true because we still see so much failure all around us. Now, I am not saying that by using Covey‚Äôs model, or anyone else‚Äôs model for that matter, you can become a sure-shot success, but at least we should have seen many more successes around us already judging by the number of copies the book has sold! So, where is the shortcoming?There are two main problems here, and we are talking only about the people who have read the book already. The first problem is that most people are too lazy to implement the ideals of Stephen Covey in their lives. They consider his masterpiece of a book as a mere coffee-table book or a book that you use for light reading when you are traveling and then forget all about it. They do not realize that this book contains life-changing information. Or, they take the information and do not make the effort to actually utilize it so that it becomes knowledge for them.The second problem is that a lot of people have a myopic view of Covey‚Äôs ideals. These are people who are impressed by the book already. If you ask them what the seven habits are, they can rattle them off end to end, but then they miss the larger picture. They do not understand that Covey was trying to tell more than he wrote in words. There are hidden implications in this book, yes, and a lot of people have just failed to see through them.That is what we are trying to do. We are trying to show you how Covey‚Äôs book, or rather, his model, was a complete model in itself. There was nothing amiss about it. If you implement it, there should be no aspect of your life that should go untouched. The only thing is that you have to understand these ideals and try to implement them in your life.But, before we barge into that area, it is extremely important to understand what these ideals are. What was the model that was propounded by Stephen Covey in his mega-famous book? We shall begin by trying to understand his model first, and then interpret it in such a way that it pertains to every aspect of our life",372,Free Press,http://images.amazon.com/images/P/0671708635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.LZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),312265840,Janet Evanovich,2001,4.16,"Also see: Alternate Cover Editions for this ISBN [ACE]  
  ACE #1
BLOWN UPAll New Jersey bounty hunter Stephanie Plum has to do is bring in semi-retired bail jumper Eddie DeChooch. For an old man he's still got a knack for slipping out of sight--and raising hell. How else can Stephanie explain the bullet-riddled corpse in Eddie's garden? Who else would have a clue as to why two of Stephanie's friends suddenly vanished? For answers Stephanie has the devil to pay: her mentor, Ranger. The deal? He'll give Stephanie all the help she needs--if she gives him everything he wants...MESSED UPAs if things weren't complicated enough, Stephanie's just discovered her Grandma Mazur's own unmentionable alliance with Eddie. Add a series of unnerving break-ins, not to mention the bombshell revelation leveled by Stephanie's estranged sister, and Stephanie's ready for some good news. Unfortunately, a marriage proposal from Joe Morelli, the love of her life, isn't quite cutting it. And now--murder, a randy paramour, a wily mobster, death threats, extortion, and a triple kidnapping aside--Stephanie's really got the urge to run for her life...~",337,St. Martin's Press,http://images.amazon.com/images/P/0312265840.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265840.01.LZZZZZZZ.jpg
Shadow Prey,039913543X,John Sandford,1990,3.97,"The #1 'New York Times' bestselling series.

Lucas Davenport goes on a city-to-city search for a bizarre ritualistic killer of a slumlord and a welfare supervisor butchered in Minneapolis . . . a rising political star executed in Manhattan . . . and an influential judge taken in Oklahoma City.

All the homicides have the same grisly method ó the victim's throat is slashed with an Indian ceremonial knife ñ and in every case the twisted trail leads back through the Minnesota Native American community to an embodiment of primal evil known as Shadow Love. Once unleashed, Shadow Love's need to kill cannot be checked, even by those who think they control him. Soon he will be stalking Lucas Davenport ó and the woman he loves...

Never get involved with a cop, that's what Lieutenant Lucas Davenport has been warning women for years, but now he finds himself on dangerous ground with a policewoman named Lily Rothenburg, on assignment from New York to help investigate the murders. Both have other commitments, but neither can stop, and as their affair grows more intense, so too does the mayhem surrounding them, until the combined passion and violence threaten to spin out of control and engulf them both. Together, Lucas and Lily must stalk the drugged-out, desperate world of the city's meanest streets to flush out Shadow Love.

Librarian's note: the first five books in the Lucas Davenport series are #1, Rules of Prey, 1989; #2, Shadow Prey, 1990; #3, Eyes of Prey, 1991; #4, Silent Prey, 1992; and #5, Winter Prey, 1993.",449,Putnam Pub Group,http://images.amazon.com/images/P/039913543X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039913543X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039913543X.01.LZZZZZZZ.jpg
Shadowfires,425136981,Dean R. Koontz,1994,3.83,"A haunting hair-raiser resurrected with a NEW recording and NEW narrator. ìHis prose mesmerizesÖKoontz consistently hits the bullís-eye.î ñ Arkansas Democrat-Gazette Rachel's request for a quick and clean divorce enraged her husband. Sheíd never seen Eric so angry, so consumed by pure and terrifying hatred. Then, in the heat of the moment, Eric was killed in a traffic accident. Shocked and relieved, Rachel had nothing left to fear. Until Eric's body disappeared from the morgue?and suddenly, Rachel is being stalked by someone who looks just like her dead husband.",436,Berkley Publishing Group,http://images.amazon.com/images/P/0425136981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425136981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425136981.01.LZZZZZZZ.jpg
Shattered,425099334,Dean R. Koontz,1993,3.9,"RUN... OR DIE

The van was in back of them again. Closer this time. There could be no mistake--they were being followed.

RUN... OR DIE

But why? The question kept nagging at Alex and Colin as they left Philadelphia behind and sped toward their new home in San Francisco. Courtney would be waiting for the, ready to begin a wonderful new life with her husband, her brother...

RUN... OR DIE

Now, someone else is driving cross-country to see Courtney, too. Someone whose brain is rotting inside. Someone who knows their route, their stops, even their destination.

RUN... OR DIE

He's got an ax.

""Shattered catches you by the throat and won't let you go"" --Chicago SunTimes",289,Berkley Publishing Group,http://images.amazon.com/images/P/0425099334.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425099334.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425099334.01.LZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),671003755,Wally Lamb,1996,3.88,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years.Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",465,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
